SlNo,DIST_NAME,DIST_ID,block_name,BLK_NAME01,id,T_max1,T_max2,T_max3,T_max4,T_max5,T_Min1,T_Min2,T_Min3,T_Min4,T_Min5
96,GANJAM,11,Hinjilicut,Hinjilicut,96,37,36,37,37,37,26,25,26,27,29
105,GANJAM,11,Jagannathprasad,Jagannathprasad,105,39,39,40,41,40,26,25,26,27,29
111,JAGATSINGHPUR,12,Jagatsinghapur,Jagatsinghapur,111,38,39,39,40,40,26,25,26,27,29
119,JAJPUR,13,Jajapur,Jajapur,119,39,39,39,40,40,26,25,26,27,29
11,BALESWAR,2,Jaleswar,Jaleswar,11,39,38,39,40,39,26,25,26,27,29
288,SAMBALPUR,28,Jamankira,Jamankira,288,42,42,43,44,43,26,25,26,27,29
230,MAYURBHANJ,22,Jamda,Jamda,230,39,39,40,41,40,26,25,26,27,29
233,MAYURBHANJ,22,Jashipur,Jashipur,233,39,39,40,40,40,26,25,26,27,29
144,KALAHANDI,15,Jayapatna,Jayapatna,144,40,40,41,41,41,26,25,26,27,29
200,KORAPUT,20,Jeypore,Jeypore,200,38,38,38,39,38,26,25,26,27,29
29,BARAGARH,3,Jharbandha,Jharbandha,29,42,42,42,43,43,26,25,26,27,29
246,NAWARANGAPUR,23,Jharigan,Jharigan,246,40,40,41,41,40,26,25,26,27,29
129,JHARSUGUDA,14,Jharsuguda,Jharsuguda,129,43,43,44,44,44,26,25,26,27,29
180,KEONJHAR,18,Jhumpura,Jhumpura,180,39,39,40,41,40,26,25,26,27,29
179,KEONJHAR,18,Joda,Joda,179,40,40,41,42,41,26,25,26,27,29
283,SAMBALPUR,28,Jujomura,Jujomura,283,43,43,44,44,43,26,25,26,27,29
142,KALAHANDI,15,Junagarh,Junagarh,142,42,42,43,43,42,26,25,26,27,29
153,KANDHAMAL,16,K.Nuagaon,K.Nuagaon,153,41,41,41,42,41,26,25,26,27,29
92,GANJAM,11,Kabisuryanagar,Kabisuryanagar,92,38,37,38,38,38,26,25,26,27,29
265,PURI,26,Kakatpur,Kakatpur,265,38,38,39,39,39,26,25,26,27,29
143,KALAHANDI,15,Kalampur,Kalampur,143,40,40,41,41,41,26,25,26,27,29
210,MALKANGIRI,21,Kalimela,Kalimela,210,40,41,40,40,40,26,25,26,27,29
274,RAYAGADA,27,Kalyanasingpur,Kalyanasingpur,274,40,40,41,41,40,26,25,26,27,29
77,DHENKANAL,9,Kamakhyanagar,Kamakhyanagar,77,39,39,40,40,40,26,25,26,27,29
266,PURI,26,Kanas,Kanas,266,39,38,39,40,39,26,25,26,27,29
